time,computers on
2016-08-27 00:00:40,19
2016-08-27 00:18:18,19
2016-08-27 00:35:56,19
2016-08-27 00:53:33,19
2016-08-27 01:11:11,19
2016-08-27 01:28:48,19
2016-08-27 01:46:26,19
2016-08-27 02:04:04,19
2016-08-27 02:21:41,19
2016-08-27 02:39:19,19
2016-08-27 02:56:57,19
2016-08-27 03:14:34,19
2016-08-27 03:32:12,19
2016-08-27 03:49:49,19
2016-08-27 04:07:27,19
2016-08-27 04:25:05,18
2016-08-27 04:42:42,18
2016-08-27 05:00:20,18
2016-08-27 05:17:58,18
2016-08-27 05:35:35,18
2016-08-27 05:53:13,18
2016-08-27 06:10:51,18
2016-08-27 06:28:28,18
2016-08-27 06:46:06,18
2016-08-27 07:03:43,18
2016-08-27 07:21:21,18
2016-08-27 07:38:59,18
2016-08-27 07:56:36,18
2016-08-27 08:14:14,18
2016-08-27 08:31:52,18
2016-08-27 08:49:29,18
2016-08-27 09:07:07,18
2016-08-27 09:24:44,18
2016-08-27 09:42:22,18
2016-08-27 10:00:00,18
2016-08-27 10:17:37,18
2016-08-27 10:35:15,18
2016-08-27 10:52:53,18
2016-08-27 11:10:30,18
2016-08-27 11:28:08,18
2016-08-27 11:45:46,17
2016-08-27 12:03:23,16
2016-08-27 12:21:01,16
2016-08-27 12:38:39,16
2016-08-27 12:56:16,16
2016-08-27 13:13:54,16
2016-08-27 13:31:32,16
2016-08-27 13:49:09,16
2016-08-27 14:06:47,16
2016-08-27 14:24:24,16
2016-08-27 14:42:02,16
2016-08-27 14:59:40,16
2016-08-27 15:17:17,16
2016-08-27 15:34:55,16
2016-08-27 15:52:33,16
2016-08-27 16:10:10,16
2016-08-27 16:27:48,16
2016-08-27 16:45:25,16
2016-08-27 17:03:03,16
2016-08-27 17:20:41,16
2016-08-27 17:38:18,16
2016-08-27 17:55:56,16
2016-08-27 18:13:34,16
2016-08-27 18:31:11,16
2016-08-27 18:48:49,16
2016-08-27 19:06:26,16
2016-08-27 19:24:04,15
2016-08-27 19:41:42,15
2016-08-27 19:59:19,15
2016-08-27 20:16:57,15
2016-08-27 20:34:35,15
2016-08-27 20:52:12,15
2016-08-27 21:09:50,15
2016-08-27 21:27:27,15
2016-08-27 21:45:05,15
2016-08-27 22:02:43,15
2016-08-27 22:20:36,15
2016-08-27 22:38:14,15
2016-08-27 22:55:52,15
2016-08-27 23:13:29,15
2016-08-27 23:31:07,15
2016-08-27 23:48:44,15
2016-08-28 00:06:22,15
2016-08-28 00:24:00,15
2016-08-28 00:41:37,15
2016-08-28 00:59:15,15
2016-08-28 01:16:53,15
2016-08-28 01:34:30,15
2016-08-28 01:52:08,15
2016-08-28 02:09:46,15
2016-08-28 02:27:23,15
2016-08-28 02:45:01,15
2016-08-28 03:02:38,15
2016-08-28 03:20:16,15
2016-08-28 03:37:54,15
2016-08-28 03:55:31,15
2016-08-28 04:13:09,15
2016-08-28 04:30:47,15
2016-08-28 04:48:24,15
2016-08-28 05:06:02,15
2016-08-28 05:23:39,15
2016-08-28 05:41:17,15
2016-08-28 05:58:55,15
2016-08-28 06:16:32,15
2016-08-28 06:34:10,15
2016-08-28 06:51:48,15
2016-08-28 07:09:25,15
2016-08-28 07:27:03,15
2016-08-28 07:44:41,15
2016-08-28 08:02:18,15
2016-08-28 08:19:56,15
2016-08-28 08:37:33,15
